Sequence,Food,Quantity,Portion,Output,UOM,Calories,Carbohydrate,Protein,Fat,Fibre,Calcium,Potassium,Sodium,Iron,Type,Breakfast,Lunch,Dinner,Morning Snack,Tea Time Snack,Evening Snack,Bed Time,Pre Training,Pre Workout,During Training,During Workout,Post Training,Post Workout,On Waking up,Beverage,GL,LACT,MLK,HYP,PE,SF,TNT,WHE,SOY,EGG,Vegan,Vegetarian,Eggetarian,Piscetarian,Non Vegetarian,IsActive,Food Source,id
1,VPA Australia  - Protein Water ,1 Scoop,1,1,Scoop,82,1,20,0.1,0,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,1,,,,1,https://tinyurl.com/39xxb85w,1
2,MB Whey Isolate 90% (unflavoured),1 scoop,1,1,scoop,113,0.36,27,0.36,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,,1,https://tinyurl.com/4fr48et4,2
3,Genetix Whey Protein ,1 Scoop,1,1,Scoop,154,2.1,32.1,0.6,3.2,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,1,,,,1,https://tinyurl.com/yc5x9t6w,3
4,Whole Truth Light cocoa 24g,1 scoop ,1,1,scoop,138.8,6.4,24.9,1.5,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,1,,,,1,,4
5,Cottage cheese,100g,1,100,g,80,4.2,12.9,2.5,0,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,Healthifyme,5
6,Tofu Cubes,2 cubes,1,2,cubes,44,0.8,6,2.8,0.8,111,,,,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,1,,,1,,,,1,Healthifyme,6
7,Greek Yogurt (Chobani - Non Fat Plain),100gm,1,100,gm,40,6,6,0,0,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,1,walmart site,7
8,Herman Brot High Protein Low Carb Wraps,1g,1,1,wrap,158,10.7,16,3.9,5.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,http://tinyurl.com/2vx74nyx,8
9,Edamame Salad,100g,1,100,g,79,8.9,6.2,2.5,4.1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,,1,healthifyme,9
10,Butter Beans (Boiled),100g,1,100,g,115,21,8,0,7,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,Healthifyme,10
