SupplementName,Dosage,id
Sunshine Nutrition - Vitamin C (500mg),,1
Keraglo Eva Tablet ,,2
"BodyScience Electrolyte + Hydration Mix
",,3
Protein Club - Whey Protein ,,4
Optimum Nutrition Gold Standard 100% Isolate (Chocolate bliss),,5
Impact Whey Protein (Natural Chocolate),,6
Magnesium Glycinate (Healthy Hey),,7
Neuherbs Deep Sea Omega 3 Fish Oil - Omega 3 Supplement Triple Strength 2500 Mg,,8
"Doctor's best, best fully active B12, 1500 mcg ",,9
Doctor's best - vitamin D3 5000 IU,,10
Probulin daily care probiotic capsules for digestive health ,,11
D-Rise Cholecalciferol Granules ,,12
Organic India turmeric tablets ,,13
GNC Pro Performance Pre-Workout ,,14
GNC Pro Performance Whey Protein ,,15
Calmax 500,,16
Mito Q7,,17
Curegarden Fast Rhulief,,18
"GNC Womens Hair, Skin, and Nails",,19
Calcimax Forte+ Tablet ,,20
Menopause ISO,,21
Football Supplements Extra Time Energy Gel ,,22
Jackfruit 365,,23
Magnesium chelate (400 mg),1 tab everyday at bedtime,24
Nurokind forte ,,25
Peping probiotic steady go digestive health ,,26
Bione Bone Growth Gummies,1 gummy everyday post-training meal,27
First Defence | Boots Immune System ,,28
Physician's Choice Probiotics 60 Billion CFU,,29
Plantigo plant protein ,,30
Optimum Nutrition (ON) Gold Standard Pre-workout,,31
Muscle Pharm BCAA (Blue Raspberry),,32
Good monk ,,33
Athlete Series Whey Protein (100% Isolate),,34
VPA Australia - Protein Water,,35
Unived Ovegha DHA- 500mg,,36
Peping probiotic Better Gut,,37
Genetix Whey Protein ,,38
Miduty Krill Omega Complex ,,39
Miduty Immune Shield,,40
Protyze Anytime Clear Whey Protein Isolate,,41
"Dexa Vitamin D3 Oral Solution (60,000 IU)",,42
FartileAId,,43
Nature Made Vitamin D3 2000 IU,,44
Transparent Labs Whey Protein Isolate (Any Flavour),,45
MB Whey Isolate 90% (unflavoured),,46
Magvion Tablet - 400mg,,47
Sixstar Whey Protein ,,48
Jamieson  Cod liver oil,,49
Lilium vitamin K2,,50
Nutrilite Multivitamin & Multi-mineral ,,51
Feroglobin B12 Capsules,Once a day for next month at bedtime (1 tab),52
"NOW Methyl Folate 1,000 mcg",Once a day for next month at bedtime (1 tab),53
Carbamide Fish oil 1000mg,1 Tablet everyday before bed time for 2 months,54
Nutra Beta Alanine ,,55
HealthyHey Nutrition 100% Natural Vitamin C from Cherry,1 Tablet everyday after breakfast for 2 months,56
Explosive Whey- Athlete Series Whey Protein (100% Isolate),,57
